title,datetime
キャセイパシフィック航空、法人向けプログラム「ビジネスプラス」を刷新　アジア・マイルの獲得が可能に,2023年8月16日
エミレーツ航空、プレエコ導入1年で16万人以上が利用,2023年8月16日
ベトジェットエア、ベトナムの観光ロゴを描いた特別塗装機導入,2023年8月16日
エティハド航空、冬スケジュールは大幅増便　乗り継ぎ強化,2023年8月16日
ユナイテッド航空、客室内装に点字を導入　米航空会社で初,2023年8月16日
ソラシドエア、冬スケジュールの航空券販売を8月29日開始,2023年8月16日
アメリカ運輸省、中国の航空会社に対する乗り入れ許可拡大　9月から週18往復、冬スケジュールから週24往復,2023年8月16日
エミレーツ航空、ドバイ〜ロンドン/ヒースロー線を増便　週47往復に,2023年8月15日
"ANA、8月17日〜23日搭乗分「トクたびマイル」設定　東京/羽田〜大阪/伊丹線など4,500マイルから",2023年8月15日
キャセイパシフィック航空、南アジア3都市行きで特別運賃　往復総額10万円台から,2023年8月15日
シンガポール航空、東京/成田〜シンガポール線にエアバスA380型機を投入　10月29日から,2023年8月15日
成田国際空港T1にうなぎの老舗「川豊」がオープン,2023年8月15日
LOTポーランド航空、東京/成田〜ワルシャワ線を週3往復に減便へ　冬スケジュール運航計画,2023年8月15日
関西国際空港、T1国際線出発エリアに出店する27店舗を決定,2023年8月15日
"ニアミー、空港送迎を2回以上利用で最大13,000マイル付与",2023年8月15日
ブリティッシュ・エアウェイズ、東京/羽田〜ロンドン/ヒースロー線でファーストクラスのサービス再開,2023年8月15日
"「ANAマイレージクラブ / Sony Bank WALLET」、新規入会と5万円利用で5,000マイル進呈",2023年8月15日
フィリピン航空、東京/成田〜セブ線を増便　10月29日から1日1往復,2023年8月15日
"ピーチ、国内線で「直前割セール」開催　片道2,990円から",2023年8月15日
"チェジュ航空、日韓線で「あきたびセール」開催　片道3,000円から",2023年8月14日
ブリティッシュ・エアウェイズ、東京/羽田〜ロンドン/ヒースロー線に新型ビジネス「クラブ・スイート」投入,2023年8月14日
厦門航空、大阪/関西〜福州線の運航再開　8月6日から週4往復,2023年8月14日
"スターラックス航空、2023年1月〜6月期は利益計上　純利益3億3,100万台湾ドル",2023年8月14日
エールフランス航空、東京/成田〜パリ/シャルル・ド・ゴール線の週3往復体制継続　冬スケジュール運航計画,2023年8月14日
エアアジアグループ、セール開催　東南アジアへ片道1.3万円から,2023年8月13日
マレーシア航空、東南アジア行きなどでセール　総額6.6万円台から,2023年8月13日
ピーチ、back numberとのコラボレーショングッズ展開　機内で新曲放送,2023年8月13日
ANAのふるさと納税、マイル2倍キャンペーン実施中　8月末まで,2023年8月13日
バティックエアー・マレーシア、沖縄/那覇〜台北/桃園〜クアラルンプール線を開設　8月16日から週4往復,2023年8月13日
厦門航空、大阪/関西〜重慶線を開設　8月5日から週3往復,2023年8月13日
アシアナ航空、東京/成田〜ソウル/仁川線を増便　9月も週3往復増,2023年8月13日
ブリティッシュ・エアウェイズ、東京/羽田〜ロンドン/ヒースロー線を週10往復に　冬スケジュール運航計画,2023年8月12日
スターフライヤー、オリジナルTシャツを販売開始,2023年8月12日
キャセイパシフィック航空、メルボルン行きで航空券10％オフ　ホテルや現地ツアーも割引,2023年8月12日
中国東方航空、札幌/千歳〜上海/浦東線の運航再開　9月27日から週2往復,2023年8月12日
ANA、ワークスペース予約サイト「ANA WORK POINT」の利用で1回150マイル付与　8月1日〜10月31日,2023年8月12日
